"CodEqu","CodFam","Descri","CosEqu","CosDia","Deprec","Transp","FecEqu","Dep01","Provee","Man01","Rep01","TipEqu"
"ALB000","00","EQUIPO PARA TABIQUERIA / CIELO RASO/ DRY","22,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB001","00","CARRETON 150 LT TIPO BUGGY P/ACARREO","55,06","","1","","4/5/2026 12:00:00 a. m.","1","DM Y ESTRUCTURAS C.A. (Andamios)","","",""
"ALB002","00","CARRETILLA CAP= 55 LT CAUCHOS DE GOMA","187,19","","0,025","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB003","00","CARRETILLA CAP= 110 LT RUEDAS DE GOMA","374,39","","0,02","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB004","00","HERRAMIENTAS MENORES","73,79","","0,006","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB005","00","CARRETON P/VACIADO DE CONCRETO TIPO BUGG","1101,12","","0,025","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB006","00","CUBETA/ENCOFRADO PLASTICO P/LOSA RETICUL","0,74","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB007","00","EQUIPO PARA COLOCACION DE CERAMICA","5,53","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB008","00","EQUIPO BASICO PARA PUESTA EN OBRA DE CON","5,53","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB009","00","EQUIPO PULIDO GRANITO","3853,91","","0,009","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB010","00","EQUIPOS VARIOS DE ALBAÑILERIA","22,01","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB011","00","ESPATULA DE 6 CM CON MANGO","11,01","","0,05","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB012","00","HERRAMIENTAS PARA CUADRILLA OBRAS CIVILE","270,87","","0,012","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB013","00","JUEGO DE PALA, PICO Y CARRETILLA","13,21","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB014","00","MANGUERA DE DESCARGA X 10 MTS","456,97","","0,01","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB015","00","MANGUERA (SUCCION) DIAM= 2"". L= 15 M","550,58","","0,005","","4/5/2026 12:00:00 a. m.","1","","","",""
