"CodFam","TipIns","AñoInd","MesInd","BCVInd"
"01","1","2001","3","18195,3"
"01","1","2001","4","18255,1"
"01","1","2001","5","18410,9"
"01","1","2001","6","18449,4"
"01","1","2001","7","18497,7"
"01","1","2001","8","19064"
"01","1","2001","9","19394,7"
"01","1","2001","10","19521,9"
"01","1","2001","11","19542,4"
"01","1","2001","12","19542,4"
"01","1","2002","4","222,92"
"01","1","2002","5","228,49"
"02","1","2001","3","23614,4"
"02","1","2001","4","23614,4"
"02","1","2001","5","23614,4"
"02","1","2001","6","24183,5"
"02","1","2001","7","24376,5"
"02","1","2001","8","24376,5"
"02","1","2001","9","24376,5"
"02","1","2001","10","24756,5"
"02","1","2001","11","24756,5"
"02","1","2001","12","24756,5"
"02","1","2002","4","296,47"
"02","1","2002","5","291,26"
"03","1","2001","3","6012"
"03","1","2001","4","6012"
"03","1","2001","5","6012"
"03","1","2001","6","6012"
"03","1","2001","7","6012"
"03","1","2001","8","6012"
"03","1","2001","9","6012"
"03","1","2001","10","6012"
"03","1","2001","11","6012"
"03","1","2001","12","6012"
"03","1","2002","4","167,37"
"03","1","2002","5","167,37"
"04","1","2001","3","6369,5"
"04","1","2001","4","6369,5"
"04","1","2001","5","6369,5"
"04","1","2001","6","6369,5"
"04","1","2001","7","6369,5"
"04","1","2001","8","6369,5"
"04","1","2001","9","6369,5"
"04","1","2001","10","6369,5"
"04","1","2001","11","6369,5"
"04","1","2001","12","6369,5"
"04","1","2002","4","230,31"
"04","1","2002","5","230,31"
"05","1","2001","3","11728,6"
"05","1","2001","4","11728,6"
"05","1","2001","5","11728,6"
"05","1","2001","6","11926"
"05","1","2001","7","11954,1"
"05","1","2001","8","11954,1"
"05","1","2001","9","11954,1"
"05","1","2001","10","11954,1"
"05","1","2001","11","12182"
"05","1","2001","12","12182"
"05","1","2002","4","240,43"
"05","1","2002","5","238,66"
"07","1","2001","3","8735,3"
"07","1","2001","4","8735,3"
"07","1","2001","5","8735,3"
"07","1","2001","6","8735,3"
"07","1","2001","7","8735,3"
"07","1","2001","8","8743,5"
"07","1","2001","9","8743,5"
"07","1","2001","10","8743,5"
"07","1","2001","11","8743,5"
"07","1","2001","12","8743,5"
"07","1","2002","4","261,48"
"07","1","2002","5","265,26"
"09","1","2001","3","5334,7"
"09","1","2001","4","5382,1"
"09","1","2001","5","5439,7"
"09","1","2001","6","5486"
"09","1","2001","7","5978,2"
"09","1","2001","8","5998,8"
"09","1","2001","9","6003"
"09","1","2001","10","6005,2"
"09","1","2001","11","6027,2"
"09","1","2001","12","6109,3"
"09","1","2002","4","182,85"
"09","1","2002","5","188,07"
"10","1","2001","3","13870,9"
"10","1","2001","4","13870,9"
"10","1","2001","5","13877,9"
"10","1","2001","6","13877,9"
"10","1","2001","7","15284"
"10","1","2001","8","15322,7"
"10","1","2001","9","15364"
"10","1","2001","10","15538,1"
"10","1","2001","11","15539,7"
