"CodMan","CodFam","Descri","Salari","Superv","FecMan"
"10-6.3","01","CAUCHERO -N3","2,55","","4/5/2026 12:00:00 a. m."
"10-7.1","01","SOLDADOR DE 3RA -N3","2,55","","4/5/2026 12:00:00 a. m."
"1-1.1","01","OBRERO DE 1RA -N1","2,26","","4/5/2026 12:00:00 a. m."
"1-1.2","01","AYUDANTE - TABULADOR CONSTRUCCION -N2","2,46","","4/5/2026 12:00:00 a. m."
"11-1.3","01","CAPORAL -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-2.1","01","ALBAÑIL DE 2DA -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-2.4","01","CARPINTERO DE 2DA -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-2.8","01","CABILLERO DE 2DA -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-211","01","PLOMERO DE 2DA -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-214","01","ELECTRICISTA DE 2DA -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-217","01","GRANITERO DE 2DA -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-220","01","PINTOR DE 2DA -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-223","01","IMPERMEABILIZADOR DE 2DA -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-228","01","GÜINCHERO -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-230","01","MAQUINISTA DE CONCRETO DE 1RA -N4","2,75","","4/5/2026 12:00:00 a. m."
"11-231","01","OPERADOR DE PLANTA FIJA DE 2DA -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-5.2","01","OPERADOR DE EQUIPO LIVIANO -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-6.4","01","MECANICO DE GASOLINA DE 2DA -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-7.2","01","SOLDADOR DE 2DA -N4","2,75","","4/5/2026 12:00:00 a. m."
"11-7.6","01","LATONERO DE 2DA -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-7.8","01","INSTALADOR ELECTROMECANICO DE 2DA -N3","2,55","","4/5/2026 12:00:00 a. m."
"11-712","01","OPERADOR DE EQUIPO DE SANDBLASTING -N3","2,55","","4/5/2026 12:00:00 a. m."
"12-8.4","01","OPERADOR DE PAVIMENTADORA -N4","2,75","","4/5/2026 12:00:00 a. m."
"1-3.1","01","VIGILANTE -N1","2,26","","4/5/2026 12:00:00 a. m."
"13-3.6","01","CHOFER DE 1RA ( DE 8 A 15 TON) -N5","3,02","","4/5/2026 12:00:00 a. m."
"14-6.5","01","MECANICO DE GASOLINA DE 1RA -N4","2,75","","4/5/2026 12:00:00 a. m."
"15-232","01","OPERADOR DE PLANTA FIJA DE 1RA -N4","2,75","","4/5/2026 12:00:00 a. m."
"16-3.7","01","CHOFER DE CAMION DE MAS DE 15 TON -N6","3,04","","4/5/2026 12:00:00 a. m."
"16-310","01","CHOFER DE CAMION MEZCLADOR -N6","3,04","","4/5/2026 12:00:00 a. m."
"17-4.3","01","DINAMITERO -N7","3,2","","4/5/2026 12:00:00 a. m."
"18-5.9","01","OPERADOR DE PALA HASTA 1 YARDA CUB -N4","2,75","","4/5/2026 12:00:00 a. m."
"19-2.2","01","ALBAÑIL DE 1RA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-2.5","01","CARPINTERO DE 1RA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-2.9","01","CABILLERO DE 1RA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-212","01","PLOMERO DE 1RA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-215","01","ELECTRICISTA DE 1RA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-218","01","GRANITERO DE 1RA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-221","01","PINTOR DE 1RA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-224","01","IMPERMEABILIZADOR DE 1RA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-5.3","01","OPERADOR DE EQUIPO PESADO DE 2DA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-5.5","01","TRACTORISTA DE 2DA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-5.7","01","OPERADOR DE MOTOTRAILLA DE 2DA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-512","01","OPERADOR DE MOTONIVELADORA DE 2DA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-514","01","OPERADOR DE GRUA (GRUERO) DE 2DA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-6.6","01","MECANICO DE EQUIPO PESADO DE 2DA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-6.9","01","OPERADOR DE MAQUINAS-HERRAMIENTAS DE 2DA","3,02","","4/5/2026 12:00:00 a. m."
"19-7.3","01","SOLDADOR DE 1RA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-7.4","01","TUBERO FABRICADOR -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-7.5","01","MONTADOR -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-7.7","01","LATONERO DE 1RA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-7.9","01","INSTALADOR ELECTROMECANICO DE 1RA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-710","01","LINIERO DE 1RA -N5","3,02","","4/5/2026 12:00:00 a. m."
"19-713","01","ALBAÑIL REFRACTARIO -N5","3,02","","4/5/2026 12:00:00 a. m."
"20-510","01","OPERADOR DE PALA DE MAS 1 YARDA CUB. DE ","3,04","","4/5/2026 12:00:00 a. m."
"21-3.9","01","CHOFER DE GANDOLA DE 2DA (15 A 40 TON) -","3,04","","4/5/2026 12:00:00 a. m."
"22-2.6","01","MAESTRO CARPINTERO DE 2DA -N6","3,04","","4/5/2026 12:00:00 a. m."
"22-515","01","OPERADOR DE GRUA (GRUERO) DE 1RA -N8","3,52","","4/5/2026 12:00:00 a. m."
"22-610","01","OPERADOR DE MAQUINAS-HERRAMIENTAS DE 1RA","3,52","","4/5/2026 12:00:00 a. m."
"23-3.9","01","CHOFER DE GANDOLA DE 1RA (TODO TON) -N7","3,2","","4/5/2026 12:00:00 a. m."
"24-2.3","01","MAESTRO ALBAÑIL -N7","3,2","","4/5/2026 12:00:00 a. m."
"24-2.7","01","MAESTRO CARPINTERO DE 1RA -N7","3,2","","4/5/2026 12:00:00 a. m."
"24-210","01","MAESTRO CABILLERO -N7","3,2","","4/5/2026 12:00:00 a. m."
"24-213","01","MAESTRO PLOMERO DE 1RA -N7","3,2","","4/5/2026 12:00:00 a. m."
"24-216","01","MAESTRO ELECTRICISTA -N7","3,2","","4/5/2026 12:00:00 a. m."
"24-219","01","MAESTRO GRANITERO -N7","3,2","","4/5/2026 12:00:00 a. m."
"24-222","01","MAESTRO PINTOR -N7","3,2","","4/5/2026 12:00:00 a. m."
"24-225","01","MAESTRO IMPERMEABILIZADOR -N7","3,2","","4/5/2026 12:00:00 a. m."
"24-226","01","MAESTRO DE OBRA DE 2DA -N7","3,2","","4/5/2026 12:00:00 a. m."
"24-4.4","01","MAESTRO DE VOLADURAS -N8","3,52","","4/5/2026 12:00:00 a. m."
"24-5.4","01","OPERADOR DE EQUIPO PESADO DE 1RA -N8","3,52","","4/5/2026 12:00:00 a. m."
"24-5.6","01","TRACTORISTA DE 1RA  -N8","3,52","","4/5/2026 12:00:00 a. m."
"24-511","01","OPERADOR DE PALA DE MAS 1 YARDA CUB. DE ","3,52","","4/5/2026 12:00:00 a. m."
"24-516","01","CAPORAL DE EQUIPO -N7","3,2","","4/5/2026 12:00:00 a. m."
"24-6.7","01","MECANICO DE EQUIPO PESADO DE 1RA -N8","3,52","","4/5/2026 12:00:00 a. m."
"24-711","01","MAESTRO DE OBRAS ELECTROMECANICAS -N7","3,2","","4/5/2026 12:00:00 a. m."
"2-5.1","01","AYUDANTE DE OPERADORES -TABULADOR CONSTR","2,46","","4/5/2026 12:00:00 a. m."
"25-227","01","MAESTRO DE OBRA DE 1RA -N9","3,62","","4/5/2026 12:00:00 a. m."
