"CodMat","CodFam","Descri","UniMat","CosMat","Desper","Provee","Consum","FecMat","Importado"
"ACA001","02","MASTIQUE PARED / PASTA PROFESIONAL","gln","30,85","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA002","02","MASTIQUE PASTA PROFESIONAL P/PARED-TABIQ","gln","16,5","5","EPA CARACAS - LOS RUICES","","4/5/2026 12:00:00 a. m.","False"
"ACA003","02","LAMINA DE YESO DRY WALL 4' X 8'  E=1/2"" ","lam","22,02","5","FERREPLUS","","4/5/2026 12:00:00 a. m.","False"
"ACA004","02","LAMINA DE YESO P/CIELO RASO 4' X 8' X3/8","lam","21,68","5","FERREPLUS","","4/5/2026 12:00:00 a. m.","False"
"ACA005","02","LAMINA DE YESO DRY WALL 4' X 8'  X 5/8"" ","lam","42,8","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA006","15","EMPATES DE PERFILES DE ALUMINIO","pza","1,61","3","","","4/5/2026 12:00:00 a. m.","False"
"ACA007","00","LIJAS PARA CONCRETO (DISCOS)","jgo","5,97","5","CA VENEZOLANA DE PINTURAS/PINTACASA","","4/5/2026 12:00:00 a. m.","False"
"ACA008","02","LAMINA DE YESO PINTADA COLOR ROJO TEJA E","m2","12,11","2","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA009","01","ELEMENTOS DE FIJACION","und","0,11","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA010","00","MATERIAL DE FIJACION Y REMATE","sg","0,42","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA011","00","MATERIALES PARA INSTALACIONES","sg","1,08","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA012","00","MATERIALES VARIOS PARA INSTALACION","sg","0,11","2","MADERAS MATO GROSSO C.A","","4/5/2026 12:00:00 a. m.","False"
"ACA013","15","MATERIALES PARA MONTAJE DE CHAPAS METALI","gpo","0,32","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA014","02","LAMINA DE YESO 4'  X 8'  X 1/2"" (1,2 X 2","m2","7,68","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA015","00","RAMPLUG PLASTICO 1/4"" COLOR VERDE","pza","0,11","2","","","4/5/2026 12:00:00 a. m.","False"
"ACA016","00","SILICON Y ADHESIVO DOBLE FAZ PARA COLOCA","und","5,54","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA017","00","SOPORTES PARA FIJACION A PARED","und","0,26","0","","","4/5/2026 12:00:00 a. m.","False"
"ACA018","02","LAMINA DE YESO/DRY WALL 4' X 10' X 5/8"" ","lam","49,25","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA019","02","PASTA PROFESIONAL/MASTIQUE NACIONAL 5 GA","cuñ","57,87","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA020","00","LAMINA FIBRA MINERAL 4' X 2' X 3/4"" (1,2","lam","13,22","5","MATO SUPLIDORES C.A.","","4/5/2026 12:00:00 a. m.","False"
"ACA021","15","DISCO DE ESMERIL PARA CORTE DE CONCRETO","pza","12,13","5","","","4/5/2026 12:00:00 a. m.","False"
"ACA022","02","LAMINA DE YESO P/DRY WALL 4' X10' X1/2"" ","lam","31,76","5","FERREPLUS","","4/5/2026 12:00:00 a. m.","False"
"ACA023","15","DISCO PARA ESMERIL DE 7""","pza","14,31","2","","","4/5/2026 12:00:00 a. m.","False"
