"CodPar","CodIns","CanIns","Contad"
"ARB001","1-1.1","6","3674"
"ARB001","1-1.2","1","3675"
"ARB001","24-226","0,5","3676"
"ARB001","4-3.3","1","3677"
"ARB002","1-1.1","3","3678"
"ARB002","1-1.2","3","3679"
"ARB002","24-226","0,5","3680"
"ARB002","7-3.4","0,25","3681"
"ARB003","1-1.1","6","3682"
"ARB003","11-1.3","0,25","3683"
"ARB003","13-3.6","0,25","3684"
"ARB003","24-226","0,2","3685"
"ARB004","1-1.1","6","3686"
"ARB004","1-1.2","1","3687"
"ARB004","11-1.3","1","3688"
"ARB004","19-514","0,5","3689"
"ARB004","8-3.5","0,5","3690"
"ARB005","1-1.1","5","3691"
"ARB005","24-226","1","3692"
"ARB005","24-5.4","0,5","3693"
"ARB005","4-3.3","1","3694"
"ARB005","8-3.5","0,5","3695"
"ARB006","1-1.1","4","3696"
"ARB006","11-1.3","0,5","3697"
"ARB006","13-3.6","1","3698"
"ARB006","19-514","1","3699"
"ARB006","8-3.5","1","3700"
"ARB007","1-1.1","5","3701"
"ARB007","1-1.2","2","3702"
"ARB007","11-1.3","0,5","3703"
"ARB007","13-3.6","2","3704"
"ARB007","19-514","1","3705"
"ARB007","24-5.4","1","3706"
"ARB008","1-1.1","5","3707"
"ARB008","11-1.3","1","3708"
"ARB008","8-3.5","1","3709"
"ARB009","1-1.1","5","3710"
"ARB009","11-1.3","1","3711"
"ARB009","8-3.5","1","3712"
"ARB010","1-1.1","6","3713"
"ARB010","1-1.2","2","3714"
"ARB010","11-1.3","1","3715"
"ARB010","19-5.3","0,5","3716"
"ARB010","8-3.5","1","3717"
"ARB011","1-1.1","5","3718"
"ARB011","11-1.3","0,5","3719"
"ARB011","19-5.3","0,2","3720"
"ARB011","19-514","0,5","3721"
"ARB011","8-3.5","1","3722"
"ARB012","1-1.1","5","3723"
"ARB012","11-1.3","1","3724"
"ARB012","13-3.6","1","3725"
"ARB013","1-1.1","5","3726"
"ARB013","11-1.3","1","3727"
"ARB013","19-514","0,25","3728"
"ARB013","2-5.1","1","3729"
"ARB013","8-3.5","1","3730"
"ARB014","1-1.1","5","3731"
"ARB014","11-1.3","1","3732"
"ARB014","19-514","1","3733"
"ARB014","8-3.5","0,5","3734"
"ARB015","1-1.1","5","3735"
"ARB015","11-1.3","1","3736"
"ARB015","2-5.1","1","3737"
"ARB015","8-3.5","1","3738"
"ARB016","1-1.1","6","3739"
"ARB016","11-1.3","1","3740"
"ARB016","7-3.4","0,25","3741"
"ARB017","1-1.1","6","3742"
"ARB017","11-1.3","1","3743"
"ARB017","4-3.3","0,25","3744"
"ARB018","1-1.1","6","3745"
"ARB018","11-1.3","1","3746"
"ARB018","7-3.4","0,25","3747"
"ARB019","1-1.2","3","3748"
"ARB019","11-1.3","1","3749"
"ARB019","7-3.4","0,25","3750"
"ARB020","1-1.1","5","3751"
"ARB020","1-1.2","1","3752"
"ARB020","24-226","1","3753"
"ARB020","7-3.4","1","3754"
"ARB021","1-1.1","5","3755"
"ARB021","11-1.3","1","3756"
"ARB022","1-1.1","6","3757"
"ARB022","11-1.3","1","3758"
"ARB023","1-1.1","6","3759"
"ARB023","11-1.3","1","3760"
"ARB024","1-1.1","5","3761"
"ARB024","11-1.3","1","3762"
"ARB025","1-1.1","6","3763"
"ARB025","11-1.3","1","3764"
"ARB025","13-3.6","1,5","3765"
"ARB025","2-5.1","0,5","3766"
"ARB025","4-3.3","0,25","3767"
"ARB026","1-1.1","8","3768"
"ARB026","1-1.2","0,5","3769"
"ARB026","11-1.3","1","3770"
"ARB026","13-3.6","1,5","3771"
"ARB026","4-3.3","0,25","3772"
"ARB027","1-1.1","8","3773"
"ARB027","11-1.3","1","3774"
"ARB027","13-3.6","1,5","3775"
"ARB027","18-5.9","0,5","3776"
"ARB027","2-5.1","0,5","3777"
"ARB027","4-3.3","0,25","3778"
"ARB028","1-1.1","5","3779"
"ARB028","11-1.3","1","3780"
"ARB028","8-3.5","1","3781"
"ARB029","1-1.1","5","3782"
"ARB029","11-1.3","1","3783"
"ARB029","8-3.5","1","3784"
"ARB031","1-1.1","2","3785"
"ARB031","11-1.3","1","3786"
"ARB032","1-1.1","5","3787"
"ARB032","11-1.3","1","3788"
"ARB032","11-5.2","1","3789"
"ARB033","1-1.1","3","3790"
"ARB033","1-1.2","1","3791"
"ARB033","11-1.3","1","3792"
"ARB033","7-3.4","0,5","3793"
"ARB034","1-1.1","5","3794"
"ARB034","1-1.2","1","3795"
"ARB034","24-226","1","3796"
"ARB034","7-3.4","1","3797"
"ARB035","1-1.1","5","3798"
"ARB035","1-1.2","1","3799"
"ARB035","24-226","1","3800"
"ARB035","7-3.4","1","3801"
"ARB036","1-1.1","5","3802"
"ARB036","1-1.2","1","3803"
"ARB036","24-226","1","3804"
"ARB036","7-3.4","1","3805"
"ARB037","1-1.1","5","3806"
"ARB037","1-1.2","1","3807"
"ARB037","24-226","1","3808"
"ARB037","7-3.4","1","3809"
"ARB038","1-1.1","5","3810"
"ARB038","1-1.2","1","3811"
"ARB038","24-226","1","3812"
"ARB038","7-3.4","1","3813"
"ARB039","1-1.1","5","3814"
"ARB039","1-1.2","1","3815"
"ARB039","24-226","1","3816"
"ARB039","7-3.4","1","3817"
"ARB040","1-1.1","5","3818"
"ARB040","1-1.2","1","3819"
"ARB040","24-226","1","3820"
"ARB040","7-3.4","1","3821"
"ARB041","1-1.1","6","3822"
"ARB041","11-1.3","1","3823"
"ARB041","8-3.5","1","3824"
"B01001","1-1.1","1","3825"
"B01001","11-5.2","1","3826"
"B01001","24-226","0,5","3827"
"B01002","1-1.1","1","3828"
"B01002","11-5.2","1","3829"
"B01002","24-226","0,5","3830"
"B01003","1-1.1","1","3831"
"B01003","19-7.3","1","3832"
"B01003","25-227","0,25","3833"
"B01004","1-1.1","3","3834"
"B01004","11-1.3","0,25","3835"
"B01004","11-5.2","1","3836"
"B01005","1-1.1","3","3837"
"B01005","11-1.3","1","3838"
"B01005","3-4.1","1","3839"
"B01006","1-1.1","3","3840"
"B01006","11-1.3","0,5","3841"
"B01007","1-1.1","4","3842"
"B01007","24-226","0,5","3843"
"B01008","1-1.1","3","3844"
"B01008","24-226","0,5","3845"
"B01009","10-7.1","1","3846"
"B01009","1-1.1","1","3847"
"B01009","1-1.2","1","3848"
"B01009","11-1.3","1","3849"
"B01009","11-5.2","1","3850"
"B01009","24-226","0,5","3851"
"B01009","3-4.1","2","3852"
"B01010","1-1.1","4","3853"
"B01010","25-227","0,5","3854"
"B01011","1-1.1","6","3855"
"B01011","25-227","0,5","3856"
"B01011","3-4.1","1","3857"
"B01012","1-1.1","4","3858"
"B01012","11-1.3","0,5","3859"
"B01012","24-226","0,25","3860"
"B01013","1-1.1","5","3861"
"B01013","11-1.3","0,5","3862"
"B01013","24-226","0,5","3863"
"B01014","1-1.1","5","3864"
"B01014","19-2.2","1","3865"
"B01014","25-227","1","3866"
"B01015","1-1.1","5","3867"
"B01015","11-1.3","0,5","3868"
"B01016","1-1.1","2","3869"
"B01016","11-1.3","0,25","3870"
"B01016","19-2.5","1","3871"
"B01017","1-1.1","4","3872"
"B01017","11-1.3","0,5","3873"
"B01018","1-1.1","3","3874"
"B01018","11-1.3","0,5","3875"
"B01019","1-1.2","1","3876"
"B01019","19-215","1","3877"
"B01019","24-216","0,25","3878"
"B01020","1-1.1","1","3879"
"B01020","11-1.3","0,5","3880"
"B01020","19-212","1","3881"
"B01021","1-1.2","1","3882"
"B01021","19-215","1","3883"
"B01021","24-216","0,25","3884"
"B01022","1-1.2","1","3885"
"B01022","19-215","1","3886"
"B01022","24-216","0,25","3887"
"B01023","1-1.1","3","3888"
"B01023","11-1.3","0,25","3889"
"B01024","1-1.1","3","3890"
"B01024","11-1.3","0,25","3891"
"B01025","1-1.1","3","3892"
"B01025","11-1.3","1","3893"
"B01025","11-7.2","1","3894"
"B01025","24-226","0,2","3895"
"B01026","10-7.1","2","3896"
"B01026","25-227","0,25","3897"
"B01027","1-1.1","4","3898"
"B01027","24-226","0,5","3899"
"B01028","1-1.1","3","3900"
"B01028","1-1.2","1","3901"
"B01028","11-7.2","1","3902"
"B01028","24-226","1","3903"
"B01029","1-1.1","2","3904"
"B01029","24-226","0,25","3905"
"B01030","1-1.1","1","3906"
"B01030","1-1.2","1","3907"
"B01030","24-226","0,25","3908"
"B01031","1-1.2","1","3909"
"B01031","19-2.5","1","3910"
"B01031","24-2.7","1","3911"
"B01032","1-1.1","2","3912"
"B01032","1-1.2","2","3913"
"B01032","19-7.9","1","3914"
"B01032","24-226","1","3915"
"B01033","1-1.2","1","3916"
"B01033","19-215","1","3917"
"B01033","24-216","0,25","3918"
"B01034","1-1.1","2","3919"
"B01034","24-226","0,5","3920"
"B01035","1-1.2","1","3921"
"B01035","19-215","1","3922"
"B01035","24-216","0,5","3923"
"B01036","1-1.2","1","3924"
"B01036","19-2.5","1","3925"
"B01036","24-2.7","0,25","3926"
"B01037","1-1.1","2","3927"
"B01037","1-1.2","2","3928"
"B01037","19-7.9","1","3929"
"B01037","24-226","0,5","3930"
"B01038","1-1.1","2","3931"
"B01038","1-1.2","1","3932"
"B01038","19-7.3","1","3933"
"B01038","19-7.9","1","3934"
"B01038","25-6.7","0,25","3935"
"B01039","1-1.1","4","3936"
"B01039","19-7.3","1","3937"
"B01039","24-226","1","3938"
