"CodPar","Descri","CovPar","UniPar","RenPar","PreUni","UniCanRen","CanPar","Coste","RPC","UniMed"
"ACARR01","ACARREO DE CEMENTO BLANCO, PEGO, CAL O YESO EN SACOS, DESDE EL SITIO DE DESCARGA HASTA EL PIE DE LA OBRA A DISTANCIAS ENTRE 10 Y 50 M, CON PENDIENTE DE 0-30% INCLUSIVE. INCLUYE CARGA Y DESCARGA
","R.910.221.150","SACO/","160","","U","","False","","0"
"ACARR05","ACARREO DE PUERTAS ENTAMBORADAS DE MADERA DESDE EL SITIO DE DESCARGA HASTA EL PIE DE LA OBRA A DISTANCIAS ENTRE 10 Y 50 M, CON PENDIENTE DE 0-30% INCLUSIVE. INCLUYE CARGA Y DESCARGA","R.910.211.S/C.1","M2/M","500","","U","","False","","0"
"ACARR07","ACARREO DE CERAMICA DESDE EL SITIO DE DE DESCARGA HASTA EL PIE DE  OBRA A DISTANCIAS ENTRE 10 Y 50 M CON PENDIENTES DE 0-30% INCLUSIVE. INCLUYE CARGA Y DESCARGA.","R.910.211.S/C.3","M2/M","160","","U","","False","","0"
"ACARR08","ACARREO DE BATEA DE CONCRETO DESDE EL SITIO DE DESCARGA HASTA EL PIE DE  OBRA A DISTANCIAS ENTRE 10 Y 50 M CON PENDIENTES DE 0-30% INCLUSIVE. INCLUYE CARGA Y DESCARGA","R.S/C","PZA/M","160","","U","","False","","0"
"ARB001","REFORESTACION DE TALUDES UTILIZANDO FAJINAS Y ESTACAS, INCLUYENDO TIERRA NEGRA ABONADA","C.0301 S/C","m2","160","","U","","False","","0"
"ARB002","SUMINISTRO Y SIEMBRA DE ARBOLES ORNAMENTALES","E123 S/C","und","20","","U","","False","","0"
"ARB003","PODA Y TRATAMIENTO FITOSANITARIO DE ARBOLES DE 3 A 6 MT DE ALTURA. INCLUYE CARGA, TRANSPORTE Y BOTE DE LOS DESECHOS.","E123 S/C","und","5","","U","","False","","0"
"ARB004","PODA Y TRATAMIENTO FITOSANITARIO DE ARBOLES DE 6 A 12 MT DE ALTURA. NO INCLUYE BOTE DE LOS DESECHOS.","E123 S/C","und","4,25","","U","","False","","0"
"ARB005","PODA Y TRATAMIENTO FITOSANITARIO DE ARBOLES DE 12 A 18 MT DE ALTURA. CON EQUIPO DE ELEVACION. NO INCLUYE BOTE DE LOS DESECHOS.","E123 S/C","und","0,75","","U","","False","","0"
"ARB006","PODA Y TRATAMIENTO FITOSANITARIO DE ARBOLES MAYORES DE 18 MT. INCLUYE CARGA, TRANSPORTE Y BOTE DE LOS DESECHOS.","E123 S/C","und","0,5","","U","","False","","0"
