"CodSis","Ordena","Descri","TipUsu","TipDef"
"AUXCAMIND","0","Cambio a Proyecto u Obra Independizo","0",""
"AUXINDPRO","0","Independizar Proyecto u Obra","0",""
"AUXRESDAT","0","Recuperación de Datos desde Respaldo","0",""
"AUXRECDAT","0","Realización de Respaldo","0",""
"MENPRI","0","Pantalla del Menú Principal","0",""
"MANEQU","0","Pantalla de Equipos","0",""
"MANEQUINC","0","Incluir Equipos","0",""
"MANEQUMOD","0","Modificar equipos","0",""
"MANEQUELI","0","Eliminar Equipos","0",""
"MANMAT","0","Pantalla de Materiales","0",""
"MANMATINC","0","Incluir Materiales","0",""
"MANMATMOD","0","Modificar Materiales","0",""
"MANMATELI","0","Eliminar Materiales","0",""
"MANMAN","0","Pantalla de Mano de Obra","0",""
"MANMANINC","0","Incluir Mano de Obra","0",""
"MANMANMOD","0","Modificar Mano de Obra","0",""
"MANMANELI","0","Eliminar Mano de Obra","0",""
"MANPAR","0","Pantalla de Partidas","0",""
"MANPARINC","0","Incluir Partidas","0",""
"MANPARMOD","0","Modificar  Partidas","0",""
"MANPARELI","0","Eliminar Partidas","0",""
"MANPRO","0","Pantalla de Proyectos","0",""
"MANPROINC","0","Incluir Proyectos","0",""
"MANPROMOD","0","Modificar Proyectos","0",""
"MANPROELI","0","Eliminar Proyectos","0",""
"MANPARINSMAT","0","Pantalla de Insumos de Materiales  en Partidas","0",""
"MANPARINSMATINC","0","Incluir Insumos de Materiales  en Partidas","0",""
"MANPARINSMATMOD","0","Modificar Insumos de Materiales en Partidas","0",""
"MANPARINSMATELI","0","Eliminar Insumos de Materiales  en Partidas","0",""
"MANPARINSEQU","0","Pantalla Insumos de Equipos en Paridas","0",""
"MANPARINSEQUINC","0","Incluir Insumos de Equipos en Paridas","0",""
"MANPARINSEQUMOD","0","Modificar Insumos de Equipos en Paridas","0",""
"MANPARINSEQUELI","0","Eliminar Insumos de Equipos en Paridas","0",""
"MANPARINSMAN","0","Pantalla de Insumos de Mano de Obra en Partidas","0",""
"MANPARINSMANINC","0","Incluir Insumos de Mano de Obra en Partidas","0",""
"MANPARINSMANMOD","0","Modificar Insumos de Mano de Obra en Partidas","0",""
"MANPARINSMANELI","0","Eliminar Insumos de Mano de Obra en Partidas","0",""
"PROPREAUMDIS","0","Pantalla de Aumentos o Disminuciones","0","0"
"PROPREAUMDISINC","0","Incluir Aumentos o Disminuciones","0","0"
"PROPREAUMDISMOD","0","Modificar Aumentos o Disminuciones","0","0"
"PROPREAUMDISELI","0","Eliminar Aumentos o Disminuciones","0","0"
"PROPRECAP","0","Pantalla de Presupuesto con Análisis de Precios Unitarios","0","0"
"PROPRECAPINC","0","Incluir Presupuestos con Análisis de Precios Unitarios","0","0"
"PROPRECAPMOD","0","Modificar Presupuestos con Análisis de Precios Unitarios","0","0"
"PROPRECAPELI","0","Eliminar Presupuestos con Análisis de Precios Unitarios","0","0"
"PROPRESAP","0","Pantalla de Presupuesto sin Análisis de Precios Unitarios","0","0"
"PROPRESAPINC","0","Incluir Presupuestos sin Análisis de Precios Unitarios","0","0"
"PROPRESAPMOD","0","Modificar Presupuestos sin Análisis de Precios Unitarios","0","0"
"PROPRESAPELI","0","Eliminar Presupuestos sin Análisis de Precios Unitarios","0","0"
"PROPREVAL","0","Pantalla de Vuaciones","0","0"
"PROPREVALINC","0","Incluir Valuaciones","0","0"
"PROPREVALMOD","0","Modificar Valuaciones","0","0"
"PROPREVALELI","0","Eliminar Valuaciones","0","0"
